gene,depletion_pval,concentration_pval,p_combined,p_size,p_sens,p_final,sample_size,sens_score,is_signal_sim,q_bh
Gene_181,0.3149473149842006,0.5153804415864595,0.40594925787133385,0.03508405562762995,0.2962962952962963,0.42807609550125814,27.0,0.7037037037037037,0,0.6375601422359164
Gene_182,0.3713326460111705,0.34484951922397106,0.35782752490874814,0.022470953747007916,0.34883720830232556,0.38540047192047466,43.0,0.6511627906976745,0,0.5890400225858783
Gene_183,0.030828260601921634,0.41202830203667307,0.059488984242699106,0.021977127515399486,0.4772727262727273,0.11432891096662023,44.0,0.5227272727272727,0,0.27585448285474573
Gene_184,0.11464353667917439,0.09856822741620498,0.10602245698387608,0.03635955569871374,0.2692307682307693,0.13647753210677693,26.0,0.7307692307692307,0,0.29854460148357453
Gene_185,0.9934622740904138,0.9218813654264684,0.9879197417328964,0.012269783764389475,0.49999999900000003,0.9886515236688413,80.0,0.5,0,0.9966666666666659
Gene_186,0.27721815741697636,1.2494897157778904e-05,2.4988968249373134e-05,0.019801326693244747,0.2244897949183674,0.027926462272050756,49.0,0.7755102040816326,0,0.1370258434369053
Gene_187,0.3201647192780859,0.4558308819113851,0.38252618013292206,0.011049610706077684,0.4382022461910112,0.41531879346214995,88.99999999999999,0.5617977528089888,0,0.6212033235544978
Gene_188,0.011520267888698558,0.8958383718280354,0.025746719467635182,0.013985784402998025,0.5857142847142857,0.09485620729501731,70.0,0.4142857142857143,0,0.24411523936217688
Gene_189,0.1886821506340043,0.04735933653789648,0.07654374838202677,0.012422199506118559,0.44303797368354436,0.1261819651692614,79.0,0.5569620253164557,0,0.28761087236109145
Gene_190,0.3390509604477279,0.53993022256616,0.4329643347777468,0.01212106281063352,0.5555555545555555,0.47108745588721523,81.0,0.4444444444444444,0,0.672422976071167
Gene_191,0.458078404874967,0.7729271671107272,0.6505060979410642,0.0327838995179941,0.3103448265862069,0.6640732863573293,29.0,0.6896551724137931,0,0.8482687964418439
Gene_192,0.5141207156735347,0.39351883883606614,0.45210999695594345,0.013244838192804309,0.2972972962972973,0.47200623425713595,74.0,0.7027027027027027,0,0.672422976071167
