gene,Day0,Day10,Day2,Day4
Cblc,1.1424428048276787,1.3304805440992669,1.0894374328282896,2.0091504696350864
Cbln1,1.225562227533785,1.498370459392845,,1.4668221256745289
Cbln2,,1.3839502740714256,,1.4395056482892596
Cbln4,,1.4734101599747111,,
Cbs,1.0956858607351196,1.3999606633961885,1.1164722822529434,0.9296141830779132
Ccdc102a,0.9081381038348184,1.3940146944771041,1.0657702719804545,1.3283521456769658
Ccdc13,,1.334926020033047,,1.0529120805434886
Ccdc172,0.973077792131873,1.2537183141447206,1.1190084017069601,1.606640244347301
Ccdc177,,1.1982824435807724,1.31377408138066,1.0265436795015028
Ccdc184,,1.4954793625121425,,1.5160169205383776
Ccdc190,,1.3522033995265266,,
Ccdc33,,1.3153196663037414,,1.395897488005778
Ccdc42,,,1.3450718275997133,
