gene,delta,Day0,Day2,Day4,Day10,max,labels
Slfn2,0.08963367017234994,,,,1.5625414181163115,1.5625414181163115,0001
Efemp1,0.08963367017234994,,1.1811612746562459,1.2605699184675014,1.562467372422481,1.562467372422481,0001
Plvap,0.08963367017234994,1.0810454125098654,1.0610018183933945,1.0283140033710665,1.5612487679309555,1.5612487679309555,0001
Cldn3,0.08963367017234994,0.8661623583249765,1.190950032671209,1.1853207112588966,1.5607116476782221,1.5607116476782221,0001
Enpp3,0.08963367017234994,0.4651418330068333,1.1144611180970405,1.0492162636091562,1.5591417245237094,1.5591417245237094,0001
AI593442,0.08963367017234994,,,,1.5545346003293379,1.5545346003293379,0001
Kcnmb2,0.08963367017234994,,,1.1669313696594865,1.5539696100506784,1.5539696100506784,0001
Acsbg1,0.08963367017234994,,,1.266090401938127,1.5534801558723625,1.5534801558723625,0001
Rgcc,0.08963367017234994,1.0142970011220713,,,1.5531278031996156,1.5531278031996156,0001
Slc38a5,0.08963367017234994,,1.2854597153625762,,1.5506144642942101,1.5506144642942101,0001
Etv1,0.08963367017234994,1.0735495599229359,1.1872842169303364,1.2187175711975344,1.549987690706898,1.549987690706898,0001
Sult1b1,0.08963367017234994,,,,1.5489760449926628,1.5489760449926628,0001
Atoh8,0.08963367017234994,,1.0412763253981943,1.1866665411917627,1.5486366165466992,1.5486366165466992,0001
Has2os,0.08963367017234994,,,,1.5479230991085682,1.5479230991085682,0001
Il6ra,0.08963367017234994,,,,1.5479230991085682,1.5479230991085682,0001
Ctxn2,0.08963367017234994,,,,1.5467224682230358,1.5467224682230358,0001
Cfb,0.08963367017234994,,,,1.545409511232989,1.545409511232989,0001
Kcne1l,0.08963367017234994,,1.1296051427551341,1.126836882190221,1.5452708546312135,1.5452708546312135,0001
Chrna3,0.08963367017234994,,1.2325710148992293,1.2118802977174288,1.5433117436791504,1.5433117436791504,0001
Sox8,0.08963367017234994,,,1.1231104584000582,1.5384232383780962,1.5384232383780962,0001
Ednrb,0.08963367017234994,,1.0899828463302925,1.2400402025796393,1.5375872582125099,1.5375872582125099,0001
Fxyd1,0.08963367017234994,1.1310527547908025,,,1.5370190901769318,1.5370190901769318,0001
Cmtm5,0.08963367017234994,,,,1.5366581276098115,1.5366581276098115,0001
Kcnj10,0.08963367017234994,,,1.1823553823337631,1.5358864496730995,1.5358864496730995,0001
Tceal6,0.08963367017234994,,,1.1458064973265862,1.5354510732127518,1.5354510732127518,0001
Lpar4,0.08963367017234994,0.9982832565755235,1.027600409866167,1.0591441626597196,1.5342308771302504,1.5342308771302504,0001
Syt1,0.08963367017234994,,,1.2987067552370706,1.5337440730198708,1.5337440730198708,0001
Gprc5a,0.08963367017234994,1.1964425334226025,1.2066949189927179,1.0383598578228346,1.532134967004361,1.532134967004361,0001
Mlc1,0.08963367017234994,,,,1.5309558938565957,1.5309558938565957,0001
Frmd3,0.08963367017234994,,,1.0171079416819329,1.5300786998624778,1.5300786998624778,0001
Larp6,0.08963367017234994,,,,1.5273235694621943,1.5273235694621943,0001
Ttpa,0.08963367017234994,1.0362227328635751,1.030628675312825,,1.5258306138380207,1.5258306138380207,0001
Ankrd45,0.08963367017234994,0.5418505461767984,1.0358172147638927,1.0481225923567052,1.5253263282752336,1.5253263282752336,0001
Caln1,0.08963367017234994,,,1.2363001297785663,1.5245738756586382,1.5245738756586382,0001
Vstm2a,0.08963367017234994,,,,1.523484148749817,1.523484148749817,0001
Adamts2,0.08963367017234994,,1.223276988078857,,1.523197258431788,1.523197258431788,0001
Sp100,0.08963367017234994,,,,1.5231269086360677,1.5231269086360677,0001
St18,0.08963367017234994,,,1.2439528727629823,1.5229737403509565,1.5229737403509565,0001
